Fe,Mn,Ni,Co,Cr,V,Al,SFE
0.721745019,0.027377142,0.146496631,0.034171363,0.022988089,0.032470263,0.014751495,-209.42271
0.070360406,0.014195424,0.521154029,0.220756849,0.064059458,0.058469087,0.051004746,58.10573
0.163546276,0.014853163,0.428293751,0.208312651,0.104177224,0.04270051,0.038116425,27.84233
0.089275285,0.008778413,0.394700901,0.291627535,0.134718696,0.043375972,0.037523199,12.10536
0.149989207,0.017179429,0.431817917,0.168537799,0.188446134,0.029968403,0.014061111,19.36858
0.441143345,0.038896027,0.312439896,0.059385764,0.02730957,0.084543557,0.036281841,54.47412
0.0199625,0.014769755,0.766507145,0.097234543,0.051388279,0.012896572,0.037241206,148.89592
0.581013341,0.004213218,0.100845456,0.182960053,0.064590326,0.038883253,0.027494353,-13.3159
0.009548304,0.015089652,0.108175539,0.750062034,0.055907831,0.021157162,0.040059478,-125.89575
0.219118513,0.013879323,0.414123463,0.185135999,0.12532258,0.002114393,0.040305729,29.05286
0.083158975,0.022860837,0.284851335,0.41317676,0.138922543,0.03179847,0.02523108,-42.36876
0.261814254,0.014486791,0.535163994,0.070864325,0.045990812,0.020886952,0.050792871,78.68484
0.491772726,0.027134942,0.258139001,0.087282801,0.059249621,0.04167522,0.03474569,89.57966
0.047842113,0.005785024,0.516000173,0.357074009,0.004769242,0.03916339,0.029366049,38.73715
0.366772233,0.015243108,0.444575122,0.023368777,0.089730691,0.038828425,0.021481644,60.5268
0.229900623,0.022999347,0.463812621,0.150506044,0.044804853,0.035467127,0.052509385,62.94787
0.203191363,0.01358087,0.530868959,0.100925395,0.071799765,0.057384312,0.022249337,62.94787
0.270538501,0.020484723,0.360193207,0.223578884,0.053183401,0.026993765,0.045027519,49.63198
0.037250972,0.001795465,0.399147186,0.399092231,0.095308119,0.039915176,0.027490851,6.05268
0.114697092,0.016392577,0.602034218,0.123707544,0.093540944,0.030204556,0.01942307,73.8427
0.299160838,0.018349257,0.454392661,0.093577818,0.025420354,0.052461652,0.056637419,85.94805
0.063869785,0.014438253,0.477072217,0.321300401,0.054240051,0.016258385,0.052820907,43.57929
0.086156584,0.004486203,0.135458079,0.615551969,0.075127928,0.060065951,0.023153286,-87.15859
0.085987709,0.014753648,0.458946467,0.224177596,0.137152717,0.043679157,0.035302707,35.10554
