Fe,Mn,Ni,Co,Cr,V,Al,D1,D2,D10,D16,D19,D21,class
0.246084522,0.012240791,0.253061633,0.335056613,0.104501048,0.03258446,0.016470933,-1.914894177,-0.297809228,25.05779098,210.4730434,5.076450288,0.008505477,0
0.096208843,0.014591655,0.347910994,0.462271711,0.032519084,0.015145701,0.031352012,-0.842398969,0.602706156,25.23695916,180.9869129,4.516520445,0.006603027,1
0.080373639,0.029990098,0.286395158,0.402497276,0.157979276,0.017623237,0.025141317,-0.680163315,0.07043328,24.99111956,202.869253,5.148809891,0.011676146,0
0.547092171,0.014426287,0.134543646,0.155595135,0.08764811,0.031775759,0.028918891,-4.132894956,-1.12052427,25.0150279,234.919319,4.626053543,0.007412857,1
0.035336113,0.016513945,0.226093508,0.489783908,0.178767508,0.029720716,0.023784303,-0.57079034,-0.136035604,24.84984354,203.6582598,4.684597356,0.011459458,0
0.460595656,0.004565762,0.35951156,0.00149088,0.124383582,0.043042407,0.006410153,-2.670901991,-0.467966696,25.22627514,232.896446,6.82968445,0.008276181,2
0.062773398,0.00150408,0.43704788,0.248187749,0.179230029,0.048277744,0.02297912,0.199546537,0.460379041,25.11144564,204.1495249,6.537954974,0.011755403,1
0.12660228,0.023180318,0.294870406,0.400138456,0.086767508,0.030728404,0.037712628,-1.017682536,0.225174902,25.10637669,194.5732194,5.358206237,0.010204244,1
0.163696479,0.014588301,0.242312637,0.318544399,0.215922969,0.03329039,0.011644826,-1.184651336,-0.486042164,24.85845551,222.4477285,5.193773374,0.011410213,0
0.390947304,0.026107739,0.301281186,0.081434133,0.137429895,0.03670963,0.026090113,-2.413786242,-0.443328836,25.12998339,228.2431399,6.672036058,0.010638741,1
0.189245896,0.013247673,0.223179968,0.477418512,0.049783464,0.041126655,0.005997833,-1.89891925,-0.250416372,25.09261801,198.5819129,3.940680645,0.006634302,0
0.349875384,0.017248658,0.238761868,0.247088233,0.084969728,0.035738856,0.026317272,-2.578825976,-0.440226731,25.10155496,216.2054652,5.537119235,0.008656454,2
0.380451078,0.023269494,0.138460534,0.306504805,0.137126489,0.012115848,0.002071752,-3.200254169,-1.028988792,24.92331706,229.6829581,3.410956439,0.007984862,0
0.026740607,0.013307418,0.344447649,0.447788634,0.115038535,0.044134323,0.008542834,-0.252564993,0.29418299,25.10249518,193.260683,4.752185463,0.009616093,0
0.094889078,0.015849539,0.681783737,0.121465336,0.011403639,0.043367792,0.031240879,0.54883573,1.676636206,25.70704668,175.1911789,4.959698504,0.007988876,2
0.159597775,0.008850129,0.266305896,0.440115035,0.08025932,0.043246536,0.001625309,-1.473126208,-0.157169815,25.09031268,200.7981442,4.32102139,0.007295959,0
0.199747178,0.016207865,0.493929106,0.215262582,0.004878326,0.064884072,0.005090871,-0.9217905,0.658151154,25.52246018,190.5536298,5.737778678,0.007003295,2
0.341069654,0.015529637,0.199518645,0.17348881,0.234328257,0.030124076,0.00594092,-2.367576647,-1.018230524,24.83294506,242.2334893,4.839324497,0.010470221,0
0.302545073,0.019356253,0.150827475,0.41620661,0.082881835,0.019467638,0.008715116,-2.802422322,-0.696725783,24.98826856,213.3438294,3.56206704,0.007062051,1
